fmax_mHz	threads	configuration	wall_s	rows	cols	norm
5	1	E2_fixed_pattern	14.999127574999999	6	16385	1.3570874929672013e-06
5	1	NaturalOrdering_control	17.257272809	6	16385	1.3570874929672013e-06
30	32	E2_fixed_pattern	6.5373733209999996	6	16385	0.00016182279756031797
30	32	NaturalOrdering_control	7.5187340130000004	6	16385	0.00016182279756031797
