# model=controlled solid-fluid-solid sphere
# quantity=absolute surface-gravity error relative to the piecewise analytic density integral; units=m s^-2
# resolution=five GLL nodes per element; total element count N
# source=compare_controlled_sphere.py and its two controlled validation executables
elements,dspecm1d_absolute_error,gia3d_absolute_error
8,5.32907051820075139e-15,5.50273155042191320e-06
16,3.55271367880050093e-15,3.01351429143892346e-07
32,1.77635683940025046e-15,1.76674923579867027e-08
64,5.32907051820075139e-15,1.07747233357713412e-09
128,3.55271367880050093e-15,1.02797770296092494e-10
256,1.06581410364015028e-14,1.33201893959267181e-10
