# model=official ELLN TI PREM sampled at 6.25 km
# quantity=response sensitivity and fraction of signed Table S7 discrepancy explained by changing G
# source=compare_gravitational_constants.py
component,relative_gravitational_constant_change,response_change,change_per_relative_gravitational_constant,fraction_signed_discrepancy_explained
h,2.30804969800483959e-04,-3.34818436922512674e-04,-1.45065523160936127e+00,6.81175241827068789e-01
k,2.30804969800483959e-04,-1.54381368525635665e-05,-6.68882341047891682e-02,6.49601146176131294e-01
