# models=homogeneous sphere, central fluid, and solid-fluid-solid controlled comparisons
# quantity=finest-mesh component difference, three-column residuals, and reciprocity diagnostics
# source=compare_controlled_sphere.py
model,elements,degree,maximum_relative_difference,maximum_dspec_residual,maximum_gia3d_residual,absolute_dspec_reciprocity_error,absolute_gia3d_reciprocity_error
homogeneous,32,1,7.14061479868188966e-13,7.38380764112141860e-13,8.13673276219221589e-13,0.00000000000000000e+00,0.00000000000000000e+00
homogeneous,32,2,4.01437211642095565e-12,3.99183317493552574e-12,4.13923657538258566e-12,2.83197457042117112e-12,1.85241664732636007e-16
homogeneous,32,10,5.72476385874078091e-13,1.88867754520451596e-13,1.87122091671084879e-13,9.98887300885332085e-15,1.18915154867356221e-16
central-fluid,32,1,5.32453796592811624e-08,6.11410443750010775e-13,7.16651285600546449e-13,0.00000000000000000e+00,0.00000000000000000e+00
central-fluid,32,2,5.06205804756341782e-08,6.03153031490061064e-12,6.36321480645207729e-12,1.73258998873807469e-12,3.35058964623018366e-16
central-fluid,32,10,3.22146239772790867e-09,1.84683811175883421e-13,2.04468388878331690e-13,7.03719321276608201e-13,1.13448222362934948e-16
solid-fluid-solid,256,1,1.44987570646979686e-11,1.49724585144516484e-11,1.65429943285551488e-11,0.00000000000000000e+00,0.00000000000000000e+00
solid-fluid-solid,256,2,3.37271012425876554e-11,1.32168339050146298e-10,1.24884656219483960e-10,7.78725810370897951e-13,0.00000000000000000e+00
solid-fluid-solid,256,10,1.58489985428572768e-11,3.62285979383601694e-12,3.70735171103310679e-12,3.43773848838576064e-15,1.14591282947725324e-16
