# model=official ELLN TI PREM sampled at 6.25 km
# reference=ELLN Table S7 h_10=-1.451586, k_10=-0.07066685
# resolution=polynomial degree 6; maximum radial step 0.00125
# quantity=dimensional load responses, conventional responses, and diagnostics for production and ELLN G
# source=compare_gravitational_constants.py
case,gravitational_constant,h_load,k_load,surface_gravity,h_10,k_10,elements,radial_nodes,dofs,maximum_solve_residual,absolute_reciprocity_error,h_signed_difference,h_relative_difference,k_signed_difference,k_relative_difference
default_G,6.67230000000000032e-11,-3.75759909796584863e-05,-2.36404791226734829e-04,9.82333564112285984e+00,-1.45109446945637011e+00,-7.06430844371720434e-02,845,5071,9825,3.37982866144075171e-11,3.45787162923914967e-14,4.91530543629936645e-04,3.38616205743191661e-04,2.37655628279598297e-05,3.36304261870450289e-04
elln_G,6.67384000000000009e-11,-3.75846610799382595e-05,-2.36455426651201075e-04,9.82560291580884915e+00,-1.45142928789329262e+00,-7.06585225740246070e-02,845,5071,9825,3.48180689801345588e-11,3.86697148049228471e-14,1.56712106707423970e-04,1.07959229909508614e-04,8.32742597539626317e-06,1.17840627895487947e-04
