# model=12.5 km paired isotropized PREM decks and pinned analytic gia3D PREM
# quantity=signed and relative response differences at radial step 0.0025
# source=compare_isotropic_prem.py
direction,knot_spacing,radial_step,degree,component,signed_difference,relative_difference
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_t,1.27510931674512662e-09,2.07060731992766707e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,h_t,-1.61186224090226204e-10,-2.61744911663472249e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,2,k_t,4.38102421007613430e-09,1.46742972844855560e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_t,-6.11589318078031852e-09,-2.04852629323610664e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,2,k_t,-1.73486897070418422e-09,-5.81096594848234670e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,10,h_u,-5.43626413687398752e-12,-1.39204235170794174e-07
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,10,h_u,4.41696962479812966e-12,1.13103556664791554e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,10,h_u,-1.01929451207585786e-12,-2.61006627615085316e-08
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,10,k_u,3.00572304404774643e-12,1.55399226644410464e-07
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,10,k_u,-3.08757831923704186e-12,-1.59631209991696750e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,10,k_u,-8.18552751892954317e-14,-4.23200815385288443e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,10,h_phi,3.05840919640431013e-13,1.55366318532071110e-07
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,10,h_phi,-3.10686491046844801e-13,-1.57827830134574657e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,10,h_phi,-4.84557140641378795e-15,-2.46153612363247913e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,10,k_phi,-2.76717667876957840e-13,-1.08073395717700887e-09
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,10,k_phi,2.81153572645465033e-13,1.09805859212808566e-09
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,10,k_phi,4.43590476850719284e-15,1.73246361377860164e-11
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,10,h_load,-5.13042321977465535e-12,-1.38346308034161017e-07
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,10,h_load,4.10628313713941664e-12,1.10729470947411668e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,10,h_load,-1.02414008263523870e-12,-2.76168217677358379e-08
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,10,k_load,2.72900536261826143e-12,1.15291843751629470e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,10,k_load,-2.80642474320344504e-12,-1.18562569081900224e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,10,k_load,-7.74193805851836059e-14,-3.27072396334104868e-10
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,10,h_t,-1.20289736504908262e-09,-1.55367095374472940e-07
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,10,h_t,1.22195062228491746e-09,1.57828002976712245e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,10,h_t,1.90532572358348418e-11,2.46093212351770719e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,10,k_t,1.08943007219586274e-09,1.54637484056171591e-07
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,10,k_t,-1.10596969169624026e-09,-1.56985150385358844e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,10,k_t,-1.65396195003775226e-11,-2.34769060497592066e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,50,h_u,-7.58009355899202063e-13,-5.35501648697584300e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,50,h_u,6.68571252030705949e-13,4.72317377137895704e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,50,h_u,-8.94381038684961133e-14,-6.31842462670151384e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,50,k_u,8.93648672822941383e-14,5.99444418212021702e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,50,k_u,-1.67146993327029424e-13,-1.12119364112595279e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,50,k_u,-7.77821260447352858e-14,-5.21749290123258145e-08
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,50,h_phi,9.09021356786233841e-15,5.99125196690753525e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,50,h_phi,-1.67376697227380002e-14,-1.10315984147930401e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,50,h_phi,-7.64745615487566184e-15,-5.04034710881636090e-08
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,50,k_phi,-1.51969230385504139e-15,-2.87326481211841998e-11
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,50,k_phi,2.88145023249683496e-15,5.44792491180653968e-11
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,50,k_phi,1.36175792864179357e-15,2.57466009984465297e-11
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,50,h_load,-7.48919142304869945e-13,-5.34812296996865743e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,50,h_load,6.51833582837363541e-13,4.65482292783914182e-08
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,50,h_load,-9.70855594675064035e-14,-6.93299793183861036e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,50,k_load,8.78451770960214651e-14,1.70905047878722302e-09
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,50,k_load,-1.64265546694422615e-13,-3.19582840406446694e-09
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,50,k_load,-7.64203695984011500e-14,-1.48677791981541170e-09
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,50,h_t,-1.71951815199772318e-10,-5.99124903962466894e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,50,h_t,3.16612219081191526e-10,1.10315930194818614e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,50,h_t,1.44660403881419208e-10,5.04034464078740329e-08
dspec_sampled_minus_gia3d_sampled,12.5km,0.0025,50,k_t,2.87078017607855784e-11,5.85466443001635292e-08
gia3d_sampled_minus_gia3d_analytic,12.5km,0.0025,50,k_t,-5.44420419119548415e-11,-1.11028999554192472e-07
dspec_sampled_minus_gia3d_analytic,12.5km,0.0025,50,k_t,-2.57342401511692631e-11,-5.24823617544042951e-08
