fmax_mhz	threads	eigen_seconds	lapack_seconds	eigen_over_lapack_speedup	lapack_percent_less_wall_time	rows	cols	eigen_norm	lapack_norm	max_abs_difference	tolerance	normalized_max_difference_by_output_norm
5	1	16.836303676	13.696712328	1.229222259533171	18.647747204010457	6	16385	1.368198604526861e-06	1.3681986045289396e-06	2.6527380832432932e-17	1e-09	1.938854545284828e-11
30	32	6.917206552	5.610110935	1.232989263874512	18.89629299304463	6	16385	0.00016860737723920668	0.00016860737723926539	4.882986994403895e-16	1e-09	2.8960695993002742e-12
100	32	107.134988079	85.849940865	1.2479331610428361	19.86750322714805	6	16385	0.0021307195596633657	0.0021307195596634255	1.3577375468803944e-15	1e-09	6.372202013740685e-13
