system	n	eigen_factor_seconds_sum	superlu_samepattern_seconds_sum	eigen_over_superlu_factor_speedup	eigen_over_superlu_solve_speedup
radial_small	110	0.0001319413125	0.000120801	1.092220366553257	0.9267792945908842
spheroidal_fluid_solid	876	0.0019192091875000002	0.0019326649375000001	0.9930377222978932	1.3213064047016654
spheroidal_large	876	0.0018772828125	0.00173872675	1.0796882330705502	1.3256569265121596
spheroidal_max	1626	0.0036530881875	0.0044026525	0.8297471098388983	1.3024986962383711
spheroidal_medium	270	0.0005053071250000001	0.00048545481249999997	1.0408942541897248	1.19405772622086
spheroidal_small	168	0.000270700875	0.00029395681249999995	0.9208865502989492	1.0732290918321126
toroidal_small	37	2.3694562500000003e-05	2.8902875e-05	0.8197995009147016	0.604253015774822
