system	family	size	degree	nq	maxstep	nrows	ordering	symmetric	analyze_s	factorize_s	solve_s	nnz_A	kl	ku	lapack_envelope	nnz_L	nnz_U	info_analyze	info_factorize	info_solve	discrepancy	residual
toroidal_large	toroidal	large	12	6	0.02	146	COLAMD	1	2.0771000000000002e-05	5.6113000000000003e-05	1.2840000000000001e-05	1016	5	5	2336	581	581	0	0	0	0	1.375788140840027e-16
toroidal_large	toroidal	large	12	6	0.02	146	NaturalOrdering	1	5.6690000000000003e-06	5.4911000000000003e-05	1.2529e-05	1016	5	5	2336	581	581	0	0	0	0	1.375788140840027e-16
spheroidal_large	spheroidal	large	12	6	0.02	860	COLAMD	0	0.000230924	0.0016827540000000001	0.00029397700000000001	14554	18	18	47300	8587	14557	0	0	0	0	1.507636295679885e-23
spheroidal_large	spheroidal	large	12	6	0.02	860	NaturalOrdering	0	8.0079000000000004e-05	0.00097189599999999998	0.00021737300000000001	14554	18	18	47300	9419	12427	0	0	0	2.8489337268527939e-12	1.4717469335369939e-23
spheroidal_large	spheroidal	large	12	6	0.02	860	COLAMD	1	0.00022845	0.0016924189999999999	0.00029009100000000003	14554	18	18	47300	8587	14557	0	0	0	0	1.507636295679885e-23
spheroidal_large	spheroidal	large	12	6	0.02	860	NaturalOrdering	1	7.2018000000000001e-05	0.001463207	0.00022238100000000001	14554	18	18	47300	9419	12427	0	0	0	2.8489337268527939e-12	1.4717469335369939e-23
spheroidal_fluid_solid_large	spheroidal_fluid_solid	large	40	6	0.02	860	COLAMD	0	0.00023384799999999999	0.001645989	0.00028305099999999998	14554	18	18	47300	8587	14619	0	0	0	0	2.3035491187814042e-24
spheroidal_fluid_solid_large	spheroidal_fluid_solid	large	40	6	0.02	860	NaturalOrdering	0	7.8867000000000002e-05	0.0015309880000000001	0.00022704800000000001	14554	18	18	47300	9390	13053	0	0	0	3.1554306833263633e-13	4.2157617350398143e-24
spheroidal_fluid_solid_large	spheroidal_fluid_solid	large	40	6	0.02	860	COLAMD	1	0.000233988	0.001665368	0.00028452300000000001	14554	18	18	47300	8587	14619	0	0	0	0	2.3035491187814042e-24
spheroidal_fluid_solid_large	spheroidal_fluid_solid	large	40	6	0.02	860	NaturalOrdering	1	7.2378000000000004e-05	0.001528925	0.00022747800000000001	14554	18	18	47300	9390	13053	0	0	0	3.1554306833263633e-13	4.2157617350398143e-24
spheroidal_max_max	spheroidal_max	max	40	6	0.01	1610	COLAMD	0	0.00042850800000000002	0.002976589	0.00052352900000000001	27304	18	18	88550	16087	26688	0	0	0	0	6.5367164752569308e-24
spheroidal_max_max	spheroidal_max	max	40	6	0.01	1610	NaturalOrdering	0	0.00014855099999999999	0.0018860159999999999	0.00041813199999999999	27304	18	18	88550	17617	23598	0	0	0	7.853201197798751e-13	3.0989427781760127e-24
spheroidal_max_max	spheroidal_max	max	40	6	0.01	1610	COLAMD	1	0.000424351	0.002146935	0.00054029299999999996	27304	18	18	88550	16087	26688	0	0	0	0	6.5367164752569308e-24
spheroidal_max_max	spheroidal_max	max	40	6	0.01	1610	NaturalOrdering	1	0.000138916	0.0019128459999999999	0.00042820800000000002	27304	18	18	88550	17617	23598	0	0	0	7.853201197798751e-13	3.0989427781760127e-24
