config	kind	threshold	panel	relax	maxsuper	system	family	freq	n	nnz_a	factor_s	solve_s	nnz_l	nnz_u	nonidentity_pivots	pivot_fraction	max_pivot_displacement	factor_info	solve_info	discrepancy	residual	finite	repeats
pivot_1	pivot	1	16	1	128	spheroidal_large	spheroidal	0.67000000000000004	860	14554	0.00091089375000000001	0.00013496100000000001	9419	12427	832	0.96744186046511627	352	0	0	0	5.0302876687419195e-23	1	4
pivot_1	pivot	1	16	1	128	spheroidal_large	spheroidal	1.05	860	14554	0.00090254625000000003	0.00013517625000000001	9419	12437	836	0.97209302325581393	352	0	0	0	1.0635690298164017e-22	1	4
pivot_1	pivot	1	16	1	128	spheroidal_large	spheroidal	0.80000000000000004	860	14554	0.00089855049999999998	0.0001351085	9419	12437	832	0.96744186046511627	352	0	0	0	1.2482781197756575e-22	1	4
pivot_1	pivot	1	16	1	128	spheroidal_large	spheroidal	0.10000000000000001	860	14554	0.00088594425000000003	0.000134628	9419	12297	832	0.96744186046511627	352	0	0	0	8.5226482059939934e-23	1	4
pivot_1	pivot	1	16	1	128	spheroidal_fluid_solid	spheroidal	0.17999999999999999	860	14554	0.00096538975000000002	0.00013882675	9390	12962	772	0.89767441860465114	84	0	0	0	5.1643597037277674e-23	1	4
pivot_1	pivot	1	16	1	128	spheroidal_fluid_solid	spheroidal	0.40999999999999998	860	14554	0.00094126124999999996	0.00013871924999999999	9390	12962	787	0.91511627906976745	84	0	0	0	8.1769984869030007e-24	1	4
pivot_1	pivot	1	16	1	128	spheroidal_fluid_solid	spheroidal	0.67000000000000004	860	14554	0.00097681924999999995	0.0001396855	9390	13043	807	0.93837209302325586	84	0	0	0	3.9630174043705951e-24	1	4
pivot_1	pivot	1	16	1	128	spheroidal_fluid_solid	spheroidal	1.05	860	14554	0.00097085550000000002	0.0001394825	9390	13007	801	0.93139534883720931	84	0	0	0	4.8589534624021359e-24	1	4
pivot_1	pivot	1	16	1	128	spheroidal_fluid_solid	spheroidal	0.10000000000000001	860	14554	0.00096191474999999995	0.00013886924999999999	9390	13018	771	0.89651162790697669	84	0	0	0	1.5757945129535722e-22	1	4
pivot_1	pivot	1	16	1	128	spheroidal_fluid_solid	spheroidal	0.5	860	14554	0.00095500200000000004	0.00013946250000000001	9390	12997	798	0.9279069767441861	87	0	0	0	7.3661336930162145e-24	1	4
pivot_1	pivot	1	16	1	128	spheroidal_max	spheroidal	0.17999999999999999	1610	27304	0.0017946995	0.00025820949999999997	17613	23579	1449	0.90000000000000002	145	0	0	0	6.7275346601378661e-23	1	4
pivot_1	pivot	1	16	1	128	spheroidal_max	spheroidal	0.40999999999999998	1610	27304	0.00184402575	0.000259048	17617	23653	1425	0.8850931677018633	145	0	0	0	1.0319305716130603e-23	1	4
pivot_1	pivot	1	16	1	128	spheroidal_max	spheroidal	0.67000000000000004	1610	27304	0.0018250447500000001	0.00026075324999999999	17617	23612	1450	0.90062111801242239	145	0	0	0	4.9669905959380182e-24	1	4
pivot_1	pivot	1	16	1	128	spheroidal_max	spheroidal	1.05	1610	27304	0.00180451425	0.00026281874999999999	17617	23603	1464	0.90931677018633539	145	0	0	0	7.4222233867076674e-24	1	4
pivot_1	pivot	1	16	1	128	spheroidal_max	spheroidal	0.10000000000000001	1610	27304	0.0018020957499999999	0.00026077075	17613	23579	1452	0.90186335403726703	145	0	0	0	2.6714746430981139e-22	1	4
pivot_0p5	pivot	0.5	16	1	128	radial_small	radial	0.17999999999999999	104	1024	6.5700500000000006e-05	1.202775e-05	564	930	80	0.76923076923076927	102	0	0	4.8970497906183949e-12	5.7544817187028553e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	radial_small	radial	0.40999999999999998	104	1024	6.1080999999999993e-05	1.199775e-05	564	930	79	0.75961538461538458	101	0	0	1.2495639206075054e-11	1.641925127670991e-22	1	4
pivot_0p5	pivot	0.5	16	1	128	radial_small	radial	0.67000000000000004	104	1024	6.0332250000000002e-05	1.1792499999999999e-05	564	930	79	0.75961538461538458	101	0	0	2.4727262534888353e-11	9.6876602006928067e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	radial_small	radial	1.05	104	1024	6.0590249999999998e-05	1.1862749999999999e-05	564	930	80	0.76923076923076927	102	0	0	7.2045028173504299e-12	1.0628945448546336e-22	1	4
pivot_0p5	pivot	0.5	16	1	128	radial_small	radial	0.5	104	1024	6.0562749999999999e-05	1.1850250000000001e-05	564	930	79	0.75961538461538458	101	0	0	9.8392033700928623e-12	1.3298641494493361e-22	1	4
pivot_0p5	pivot	0.5	16	1	128	radial_small	radial	0.14999999999999999	104	1024	6.0547500000000003e-05	1.1715e-05	564	930	80	0.76923076923076927	102	0	0	1.4844919260829583e-11	5.7502374115943886e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	toroidal_small	toroidal	0.17999999999999999	37	181	1.1977999999999999e-05	3.1070000000000001e-06	109	109	0	0	0	0	0	1.0604979252634226e-26	5.6815191396436701e-17	1	4
pivot_0p5	pivot	0.5	16	1	128	toroidal_small	toroidal	0.40999999999999998	37	181	1.14295e-05	3.0319999999999999e-06	109	109	0	0	0	0	0	4.3434107151831642e-27	4.2372378284551878e-17	1	4
pivot_0p5	pivot	0.5	16	1	128	toroidal_small	toroidal	0.67000000000000004	37	181	1.14245e-05	3.0394999999999999e-06	109	109	0	0	0	0	0	1.2869734417802371e-26	9.3176748780378699e-17	1	4
pivot_0p5	pivot	0.5	16	1	128	toroidal_small	toroidal	1.05	37	181	1.1372000000000001e-05	2.9944999999999999e-06	109	109	0	0	0	0	0	2.1561061244240482e-27	8.458682605463124e-17	1	4
pivot_0p5	pivot	0.5	16	1	128	toroidal_small	toroidal	0.20000000000000001	37	181	1.1392e-05	3.0394999999999999e-06	109	109	0	0	0	0	0	9.1767637563256932e-27	8.2795644946177948e-17	1	4
pivot_0p5	pivot	0.5	16	1	128	toroidal_small	toroidal	0.10000000000000001	37	181	1.134925e-05	3.0245e-06	109	109	0	0	0	0	0	8.708683199091422e-27	7.8266153936074652e-17	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_small	spheroidal	0.17999999999999999	158	1906	0.00012731950000000001	2.0185000000000001e-05	1245	1806	131	0.82911392405063289	61	0	0	3.0147841869286543e-14	5.4543733776670983e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_small	spheroidal	0.40999999999999998	158	1906	0.00012077475	1.9854500000000001e-05	1245	1806	131	0.82911392405063289	61	0	0	8.291577729331633e-15	4.4809093316467526e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_small	spheroidal	0.67000000000000004	158	1906	0.000119558	1.9774499999999998e-05	1245	1806	131	0.82911392405063289	61	0	0	2.4814835415758236e-14	6.9635273227952372e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_small	spheroidal	1.05	158	1906	0.0001198335	1.97845e-05	1245	1815	132	0.83544303797468356	61	0	0	5.4351806029065785e-15	3.6882088807551102e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_small	spheroidal	0.10000000000000001	158	1906	0.00012178374999999999	1.9789500000000001e-05	1245	1806	131	0.82911392405063289	61	0	0	1.7398445790487829e-14	5.257062972557853e-23	1	4
pivot_0p5	pivot	0.5	16	1	128	spheroidal_medium	spheroidal	0.17999999999999999	257	3715	0.00023650974999999999	3.5780749999999998e-05	2417	3396	217	0.8443579766536965	82	0	0	2.3437326506830533e-14	4.4014634458188962e-23	1	4
