0.000000;0.000000000000e+00;0.000000000000e+00;0.000000000000e+00
1.000000;-1.300747949962e-06;-1.385287189269e-06;-2.039136832389e-06
2.000000;-5.074982346479e-06;-5.405873910841e-06;-7.957612171429e-06
3.000000;-1.095129651953e-05;-1.166917128071e-05;-1.717806641786e-05
4.000000;-1.835142510820e-05;-1.956360083087e-05;-2.880102319833e-05
5.000000;-2.654714566718e-05;-2.831830999695e-05;-4.169263155380e-05
6.000000;-3.473193655656e-05;-3.707843962147e-05;-5.459527138845e-05
7.000000;-4.210034030048e-05;-4.498859445159e-05;-6.625023323920e-05
8.000000;-4.792722334420e-05;-5.127636663926e-05;-7.552050556679e-05
9.000000;-5.163913322406e-05;-5.532775701330e-05;-8.150169216253e-05
10.000000;-5.287073160965e-05;-5.674712990563e-05;-8.361023995829e-05
11.000000;-5.150075000198e-05;-5.539584735295e-05;-8.164037061137e-05
12.000000;-4.766392962150e-05;-5.140581013631e-05;-7.578416186116e-05
13.000000;-4.173776997660e-05;-4.516658312841e-05;-6.661281907957e-05
14.000000;-3.430538928503e-05;-3.728736159101e-05;-5.502096307143e-05
15.000000;-2.609815045199e-05;-2.853749158345e-05;-4.213936777548e-05
16.000000;-1.792369741792e-05;-1.977135166548e-05;-2.922465918226e-05
17.000000;-1.058648245696e-05;-1.184493014177e-05;-1.753673431291e-05
18.000000;-4.808604148309e-06;-5.532243097664e-06;-8.215857247661e-06
19.000000;-1.158745505575e-06;-1.449754215015e-06;-2.171421057795e-06
20.000000;3.794924513764e-09;3.823720607458e-09;6.773060710848e-09
21.000000;-1.435529058981e-06;-1.313532636321e-06;-1.893935790497e-06
22.000000;-5.335225717552e-06;-5.273281220804e-06;-7.688307090398e-06
23.000000;-1.131167389711e-05;-1.148885681136e-05;-1.681125174882e-05
24.000000;-1.877685854283e-05;-1.935340774880e-05;-2.837293958898e-05
25.000000;-2.699622149325e-05;-2.809904335003e-05;-4.124558756726e-05
26.000000;-3.516093632569e-05;-3.687180782824e-05;-5.417346430784e-05
27.000000;-4.246749636723e-05;-4.481506079149e-05;-6.589538150458e-05
28.000000;-4.819678490592e-05;-5.115312329625e-05;-7.526772418805e-05
29.000000;-5.178484703149e-05;-5.526702217639e-05;-8.137601867913e-05
30.000000;-5.287839850080e-05;-5.675493654592e-05;-8.362415449558e-05
31.000000;-5.136960833082e-05;-5.547144372372e-05;-8.179255560886e-05
32.000000;-4.740673080751e-05;-5.154173157514e-05;-7.605962476677e-05
33.000000;-4.137953868429e-05;-4.534938835328e-05;-6.698436676817e-05
34.000000;-3.388098876736e-05;-3.749896093608e-05;-5.545188322396e-05
35.000000;-2.564888990032e-05;-2.875693601799e-05;-4.258705312583e-05
36.000000;-1.749331143143e-05;-1.997690577810e-05;-2.964481719189e-05
37.000000;-1.021687389806e-05;-1.201622407614e-05;-1.788776670308e-05
38.000000;-4.535764730970e-06;-5.652290492750e-06;-8.462976675199e-06
39.000000;-1.009251219886e-06;-1.506636329787e-06;-2.290097793084e-06
