policy	ordering	matrix_count	symbolic_seconds_sum	eigen_factor_seconds_sum	umf_numeric_seconds_sum	eigen_over_umf_numeric	umf_numeric_percent_slower	eigen_solve_seconds_sum	umf_raw_solve_seconds_sum	eigen_over_umf_raw_solve	umf_refined_solve_seconds_sum	strategy_used	ordering_used	total_off_diagonal_pivots
robust	natural	14	0.001479242	0.00832262875	0.0102199024375	0.8143550098347013	22.79656758088602	0.0016401745625	0.0015545214374999999	1.0550993527228216	0.016824239499999998	[3]	[5]	4988
robust	default_amd	14	0.0013483759999999999	0.0083191298125	0.0122184918125	0.6808638856711596	46.87223409040897	0.001642002	0.0015995730625	1.0265251638044512	0.0169246875625	[3]	[1]	3324
default	natural	14	0.0014788409999999998	0.008306375125	0.0091650718125	0.9063076967570678	10.337802887273284	0.001657413875	0.0013869569375000001	1.1950002413106642	0.0159675816875	[3]	[5]	0
default	default_amd	14	0.0013026879999999998	0.008321747937499999	0.009715983624999999	0.856500819545175	16.75412062431265	0.0016412347500000004	0.0013223346874999997	1.2411644083109639	0.0153032805625	[3]	[1]	12
