name	n	nnz	elements	total_interior	interface_dofs	reduced_kl	reduced_ku	condensed_setup_intrinsic_s	condensed_solve_recovery_s	lapack_factor_s	lapack_solve_s	total_speedup_vs_lapack	condensed_residual	condensed_vs_lapack
radial_0S0	292	4064	29	232	60	3	3	9.3957333333333329e-05	7.1235666666666673e-05	0.00011141900000000001	7.4127000000000004e-05	1.1232073998292909	1.9937046317173403e-21	5.3546616434886827e-09
toroidal_0T12	81	561	16	64	17	1	1	1.8523666666666667e-05	1.9141333333333333e-05	1.1383666666666666e-05	1.6458000000000001e-05	0.73919199964600213	6.0659213118759324e-17	2.1487611021113115e-12
spheroidal_0S12	441	7419	29	348	93	6	6	0.00022088266666666663	0.00013405966666666665	0.00023742633333333329	0.00013665633333333335	1.0539251916038943	2.949955125326246e-22	6.4134321917730648e-11
fluid_solid_0S40	876	14814	58	696	180	6	6	0.00047305666666666661	0.00026784200000000001	0.0004677956666666666	0.00028182266666666668	1.0117690408404929	1.9096625477228033e-22	1.6303077853817839e-10
large_0S40	1626	27564	108	1296	330	6	6	0.00092284966666666675	0.00050176666666666659	0.00086100399999999996	0.00051429899999999996	0.96538483226712046	1.035456167295259e-22	1.5245124685516887e-10
