family	name	degree	frequency_mhz	nq	maxstep	elements	n	nnz	kl	ku	components	total_interior	interface_dofs	fluid_solid_split_dofs	reduced_n	reduced_kl	reduced_ku	local_interior_min	local_interior_max	local_lu_flops	schur_flops	reduced_factor_flops	repeats	one_time_base_extraction_s	local_dynamic_prep_s	local_factor_s	schur_s	reduced_assembly_s	reduced_band_prep_s	interface_factor_s	rhs_condense_s	interface_solve_s	recovery_s	condensed_setup_intrinsic_s	condensed_setup_with_scaffolding_s	condensed_solve_recovery_s	eigen_factor_s	eigen_solve_s	lapack_factor_s	lapack_solve_s	setup_speedup_vs_lapack	total_speedup_vs_lapack	condensed_info	eigen_info	lapack_info	factors_finite	finite	condensed_residual	eigen_residual	lapack_residual	condensed_vs_eigen	condensed_vs_lapack	eigen_vs_lapack
radial	radial_0S0	0	0.81466349999999998	6	0.050000000000000003	29	292	4064	11	11	2	232	60	0	60	3	3	8	8	39594.666666666664	89088	13440	3	0.00013658299999999999	2.4672999999999999e-05	2.9303e-05	3.1308333333333333e-05	1.7559999999999996e-06	1.7123333333333333e-06	6.9170000000000009e-06	2.8943000000000001e-05	1.1313333333333332e-05	3.0979333333333337e-05	9.3957333333333329e-05	9.5669666666666663e-05	7.1235666666666673e-05	0.00026983766666666668	4.9831333333333339e-05	0.00011141900000000001	7.4127000000000004e-05	1.1858467673270139	1.1232073998292909	0	0	0	1	1	1.9937046317173403e-21	6.672456841795933e-22	5.5415955177073714e-22	4.9455074390170865e-09	5.3546616434886827e-09	6.6805837737738674e-09
toroidal	toroidal_0T12	12	1.8814960000000001	6	0.050000000000000003	16	81	561	5	5	1	64	17	0	17	1	1	4	4	2730.6666666666661	6144	816	3	2.7560999999999999e-05	5.3546666666666672e-06	5.541333333333334e-06	5.8853333333333328e-06	6.4733333333333344e-07	4.0766666666666668e-07	1.0949999999999999e-06	7.5543333333333332e-06	2.8573333333333336e-06	8.7296666666666671e-06	1.8523666666666667e-05	1.8931333333333333e-05	1.9141333333333333e-05	6.1237666666666665e-05	8.8099999999999987e-06	1.1383666666666666e-05	1.6458000000000001e-05	0.61454715589066233	0.73919199964600213	0	0	0	1	1	6.0659213118759324e-17	7.8535651719502397e-17	1.0713316174379143e-16	1.9627614521662093e-13	2.1487611021113115e-12	2.3450370682236906e-12
spheroidal	spheroidal_0S12	12	2.0030700000000001	6	0.050000000000000003	29	441	7419	18	18	3	348	93	3	93	6	6	12	12	133632	300672	67704	3	0.00032645599999999998	4.5771333333333333e-05	6.8758666666666676e-05	8.4703333333333326e-05	2.8083333333333337e-06	4.2263333333333331e-06	1.8841000000000001e-05	5.6159666666666664e-05	2.0293999999999999e-05	5.7605999999999997e-05	0.00022088266666666663	0.00022510899999999998	0.00013405966666666665	0.00058213933333333334	0.00010210200000000001	0.00023742633333333329	0.00013665633333333335	1.0748979850539049	1.0539251916038943	0	0	0	1	1	2.949955125326246e-22	1.7045716440861331e-22	2.6068069397208986e-22	1.007978666929562e-10	6.4134321917730648e-11	1.1185265340216553e-10
fluid-solid	fluid_solid_0S40	40	4.7617250000000002	6	0.02	58	876	14814	18	18	3	696	180	3	180	6	6	12	12	267264	601344	131040	3	0.001244762	0.00012421833333333332	0.00013197166666666666	0.00017604099999999996	5.9936666666666639e-06	7.7753333333333333e-06	3.4832000000000001e-05	0.00011270766666666667	3.9362e-05	0.00011577233333333332	0.00047305666666666661	0.00048083199999999994	0.00026784200000000001	0.0014065126666666667	0.00019790466666666669	0.0004677956666666666	0.00028182266666666668	0.98887871079574685	1.0117690408404929	0	0	0	1	1	1.9096625477228033e-22	6.0195711045569627e-23	7.8618380514390868e-23	6.7604420674448533e-10	1.6303077853817839e-10	5.3677755929025646e-10
large-spheroidal	large_0S40	40	4.7617250000000002	6	0.01	108	1626	27564	18	18	3	1296	330	3	330	6	6	12	12	497664	1119744	240240	3	0.0036443130000000002	0.000303565	0.00022982700000000002	0.00031175666666666675	1.1783000000000021e-05	1.4855333333333333e-05	6.5918000000000001e-05	0.00021036300000000001	7.1783333333333334e-05	0.00021962033333333331	0.00092284966666666675	0.00093770500000000005	0.00050176666666666659	0.0023438073333333334	0.00035950499999999998	0.00086100399999999996	0.00051429899999999996	0.93298402881798359	0.96538483226712046	0	0	0	1	1	1.035456167295259e-22	4.778440926278205e-23	5.0430635950907564e-23	3.4593347513255661e-10	1.5245124685516887e-10	2.6612073129391738e-10
